Surveyor,Location,Period,StartTime,EndTime,StopSignType,Date,DayofWeek,Week,Weather,Compliance,VehicleType,OnlyVehicle,PedestrianPresence,Comment
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,sv,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,o,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,o,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,o,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,o,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,sv,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,o,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,Yes,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,c,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,sv,No,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Rolling Stop,c,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,c,No,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,sv,No,Yes,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Non Stop,o,Yes,No,
Mari,Tepper,1100-1300,1200,1215,4,04/03/17,Monday,1,Sunny,Full Stop,sv,Yes,Yes,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Full Stop,sv,Yes,No,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Non Stop,sv,No,No,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Full Stop,c,Yes,No,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Rolling Stop,c,Yes,Yes,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Full Stop,c,Yes,No,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Non Stop,c,Yes,No,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Full Stop,o,No,No,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Full Stop,sv,Yes,Yes,
Mari,Neville,1100-1300,1245,1300,3,04/03/17,Monday,1,Rain,Full Stop,o,No,No,
